Date,Startup Name,Vertical,Sub Vertical,City,Investor,Round,Amount in Rs.,Month,Year
2017-11-27,edelweiss,finance,diversified financial,mumbai,undisclosed investors,Private Equity,584.5,11.0,2017.0
2017-11-27,era,technology,identity management platform,mumbai,amit patni,Seed/Angel Funding,0.33,11.0,2017.0
2017-11-27,smaaash,technology,virtual reality based gaming platform,mumbai,sixth sense ventures,Private Equity,31.73,11.0,2017.0
2017-11-28,chumbak,lifestyle,designer-led consumer products,bangalore,gaja capital,Private Equity,108.55,11.0,2017.0
2017-11-28,fr8,technology,online truck aggregator platform,chennai,ifmr capital,Debt Funding,12.53,11.0,2017.0
2017-11-28,mobiefit,healthcare,health and fitness based mobile app,goa,"nb ventures, mediassist",Seed/Angel Funding,11.27,11.0,2017.0
2017-10-03,ola cabs,consumer internet,app based cab hailing services,bangalore,"tencent, softbank group",Private Equity,918.5,10.0,2017.0
2017-10-04,collpoll,consumer internet,education collaboration platform,bangalore,sprout angels,Seed Funding,2.56,10.0,2017.0
2017-10-04,phonepe,consumer internet,digital wallet,bangalore,flipkart,Private Equity,323.14,10.0,2017.0
2017-10-05,little black book,consumer internet,local recommendations and discoveries platform,new delhi,"blume ventures, idg ventures & indian angel network",Private Equity,8.35,10.0,2017.0
2017-10-05,oorjan,technology,rooftop solar platform,mumbai,globevestor,Seed Funding,3.76,10.0,2017.0
2017-10-05,zefo,ecommerce,ecommerce portal for used goods,bangalore,"sequoia india, helion venture partners, beenext",Private Equity,76.82,10.0,2017.0
2017-10-06,yaantra,ecommerce,mobile repair and refurbishment platform,new delhi,carpediem capital,Private Equity,25.89,10.0,2017.0
2017-10-06,farm taaza,technology,fresh produce scm company,bangalore,"epsilon venture partners, tara india fund iv and others",Private Equity,66.8,10.0,2017.0
2017-10-06,drivezy,consumer internet,self drive car and bike rental platform,bangalore,"das capital, axan partners, das capital and it farm",Private Equity,83.5,10.0,2017.0
2017-10-09,mygubbi,ecommerce,home interior designing seller,bangalore,"firoze irani, vipul parekh, ananda kallugadde, rajesh k murthy",Private Equity,5.84,10.0,2017.0
2017-10-09,onestepup,technology,education technology platform,new delhi,orient blackswan,Seed Funding,2.81,10.0,2017.0
2017-10-10,parallel dots,technology,ai-powered deep learning solutions,gurgaon,"multipoint capital,",Private Equity,11.69,10.0,2017.0
2017-10-10,easy diner,consumer internet,online restaurant reservation platform,gurgaon,saama capital and dsg consumer partners,Private Equity,37.58,10.0,2017.0
2017-10-11,meesho,ecommerce,online reseller network,bangalore,"saif partners, ycombinator, venture highway",Private Equity,25.89,10.0,2017.0
2017-10-11,stanplus,logistics,medical transportation services,hyderabad,kstart capital,Private Equity,9.19,10.0,2017.0
2017-10-12,uclid,technology,"education network for institutions, teachers & students",hyderabad,undisclosed investors,Seed Funding,0.29,10.0,2017.0
2017-10-13,policy bazaar,consumer internet,online insurance policy aggregator,gurgaon,"wellington management, dg ventures india, true north",Private Equity,642.95,10.0,2017.0
2017-10-13,gapoon,consumer internet,home maintenance services platform,bangalore,"vida ventures, snehal mantri, anshu bahadur",Seed Funding,0.42,10.0,2017.0
2017-10-16,krazybee,consumer internet,micro lending platform,bangalore,"xiaomi technologies, shunwei capital",Private Equity,66.8,10.0,2017.0
2017-10-16,renew buy,consumer internet,online insurance aggregator,new delhi,amicus capital,Private Equity,76.82,10.0,2017.0
2017-10-17,fingerlix,consumer internet,food ordering portal,bangalore,"accel partners, zephyr peacock",Private Equity,58.45,10.0,2017.0
2017-10-18,bank bazaar,consumer internet,online financial marketplace,chennai,experian,Private Equity,58.45,10.0,2017.0
2017-10-18,blackbuck,logistics,b2b logistics provider,bangalore,innoven capital,Private Equity,64.3,10.0,2017.0
2017-10-18,lenden club,consumer internet,online peer-to-peer lending platform,mumbai,undisclosed investor,Seed Funding,4.17,10.0,2017.0
2017-10-23,toppr,consumer internet,mobile based learning app,mumbai,"saif partners, helion ventures, fil capital management",Private Equity,58.45,10.0,2017.0
2017-10-23,raw pressery,food & beverage,cold pressed juice maker,mumbai,"dsg consumer partners, sequoia capital, saama capital",Private Equity,50.1,10.0,2017.0
2017-10-23,cashe,consumer internet,app-only lending platform,mumbai,ifmr capital,Debt Funding,25.89,10.0,2017.0
2017-10-23,park easy,consumer internet,machine learning based parking discovery,kolkata,rockstart accelerator,Seed Funding,0.99,10.0,2017.0
2017-10-24,fyre,food & beverage,herbal energy shot maker,mumbai,venture catalysts,Seed Funding,4.17,10.0,2017.0
2017-10-24,ziploan,consumer internet,sme lending platform,new delhi,"matrix partners india, waterbridge ventures, whiteboard capital, sarbvir singh",Private Equity,25.05,10.0,2017.0
2017-10-24,skillenza,consumer internet,online learning platform,bangalore,"blume ventures, indian angel network",Seed Funding,6.03,10.0,2017.0
2017-10-25,spotdraft,consumer internet,contract automation,gurgaon,"hunch ventures, spiral ventures, 500 startups, singapore angel network, citrus payments",Seed Funding,4.59,10.0,2017.0
2017-10-26,big basket,ecommerce,online grocery portal,bangalore,helion ventures partners,Private Equity,41.75,10.0,2017.0
2017-10-27,ofbusiness,technology,b2b finance & fulfilment network,gurgaon,kotak mahindra bank,Debt Funding,31.73,10.0,2017.0
2017-10-28,cashfree,technology,payments platform for marketplaces and fintechs,new delhi,y combinator,Seed Funding,1.0,10.0,2017.0
2017-10-28,ola cabs,consumer internet,app based cab hailing services,bangalore,ani technologies pvt. ltd,Private Equity,64.3,10.0,2017.0
2017-10-31,netmeds,ecommerce,online pharmacy,chennai,tanncam investment & sistema asia fund,Private Equity,116.9,10.0,2017.0
2017-10-31,mse,finance,equity stock exchange,mumbai,"il&fs, trust capital, rosy blue securities, radhakrishan damani and rakesh jhunjhunwala",Private Equity,267.2,10.0,2017.0
2017-09-01,aahaa stores,ecommece,online b2b store for office supplies,chennai,yournest angel fund,Private Equity,8.35,9.0,2017.0
2017-09-01,mfine,consumer internet,online doctor discovery platform,bangalore,"stellaris venture partners, mayur abhaya, rohit ma",Private Equity,12.53,9.0,2017.0
2017-09-01,canvera,consumer internet,online photography platform,mumbai,infoedge,Private Equity,10.86,9.0,2017.0
2017-09-04,primaryio,technology,application performance acceleration,pune,"accel partners, exfinity ventures, partech ventures",Private Equity,46.76,9.0,2017.0
2017-09-05,shubh loans,consumer internet,online lending platform,bangalore,"sri capital, beenext, pravega ventures",Private Equity,12.53,9.0,2017.0
2017-09-05,nest education,technology,edutech platform,gurgaon,"michael and susan dell foundation, anand mahindra",Seed Funding,5.01,9.0,2017.0
2017-09-06,lending kart,consumer internet,online lending platform,ahmedabad,"bertelsmann india, mayfield capital, saama capital, darrin capital",Private Equity,89.76,9.0,2017.0
2017-09-06,gofro,consumer internet,online travel booking platform,new delhi,"his co. ltd, makemytrip",Private Equity,83.5,9.0,2017.0
2017-09-06,oncostem,healthcare,medical diagnostic solutions,bangalore,"sequoia capital india, artiman ventures",Private Equity,50.1,9.0,2017.0
2017-09-06,power2sme,ecommerce,buying club for small businesses,gurgaon,"international finance corporation (ifc), inventus capital partners, accel partners, kalaari capital, and nandan nilekani,",Private Equity,50.1,9.0,2017.0
2017-09-07,credit vidya,consumer internet,online credit scoring platform,mumbai,matrix partners,Private Equity,41.75,9.0,2017.0
2017-09-07,oyo rooms,consumer internet,branded budget hotels marketplace,gurgaon,"softbank group, sequoia capital india, lightspeed venture partners, greenoaks capital, hero enterprise",Private Equity,417.5,9.0,2017.0
2017-09-07,early salary,consumer internet,online unsecured lending platform,pune,ifmr capital,Debt Funding,6.51,9.0,2017.0
2017-09-07,seniority,ecommerce,ecommerce portal for senior citizens,pune,rpg enterprises,Private Equity,8.35,9.0,2017.0
2017-09-08,aye finance,consumer internet,micro lending platform,new delhi,"triodos investment management,",Debt Funding,57.62,9.0,2017.0
2017-09-11,ecom express,logistics,logistics solutions provider,new delhi,warburg pincus,Private Equity,250.5,9.0,2017.0
2017-09-11,call health,consumer internet,healthcare services aggregator,hyderabad,"sachin tendulkar, p.v sindhu, pullela gopichand",Private Equity,51.77,9.0,2017.0
2017-09-12,3hcare,consumer internet,healthcare services portal,new delhi,undisclosed investor,Seed Funding,0.83,9.0,2017.0
2017-09-12,tonbo imaging,technology,imaging technology for armed forces,bangalore,"wrv capital, qualcomm ventures, edelweiss private equity, artiman ventures",Private Equity,141.95,9.0,2017.0
2017-09-12,get my parking,consumer internet,smart parking enabler,new delhi,"ian fund, beenext, indian angel network",Private Equity,25.05,9.0,2017.0
2017-09-13,oyo rooms,consumer internet,udget hotel marketplace,gurgaon,china lodging group,Private Equity,83.5,9.0,2017.0
2017-09-13,unacademy,consumer internet,online learning platform,mumbai,"sequoia capital india, saif partners, nexus venture partners and blume ventures,",Private Equity,96.03,9.0,2017.0
2017-09-13,heterogenous,technology,telecom & iot platform,chennai,"chennai angels, keiretsu forum & others",Seed Funding,6.51,9.0,2017.0
2017-09-14,smaaash,technology,virtual reality gaming and entertainment platform,mumbai,ecl finance,Private Equity,367.4,9.0,2017.0
2017-09-14,wheelstreet,consumer portal,bike rental platform,bangalore,y combinator,Seed Funding,1.0,9.0,2017.0
2017-09-18,the moms co,ecommerce,pregnancy & baby care product etailer,gurgaon,"dsg consumer partners, saama capital",Private Equity,8.35,9.0,2017.0
2017-09-19,high radius,technology,integrated receivables software solutions,hyderabad,susquehanna growth equity llc,Private Equity,417.5,9.0,2017.0
2017-09-21,savebc,finance,financial services firm,gaya,incofin investment management.,Private Equity,50.1,9.0,2017.0
2017-09-21,homergize,ecommerce,home furnishing & building material marketplace,bangalore,lg chandrasekhar,Private Equity,8.35,9.0,2017.0
2017-09-22,yatra,ecommerce,online travel agency,gurgaon,innoven capital india,Debt Funding,128.59,9.0,2017.0
2017-09-25,synup,technology,sme marketing management solution,bangalore,"vertex ventures, prime venture partners.",Private Equity,50.1,9.0,2017.0
2017-09-25,rapido,consumer internet,bike aggregator mobile app,bangalore,battery road digital holdings llc,Seed Funding,3.52,9.0,2017.0
2017-09-25,sportobuddy,consumer internet,sports & sport related equipment portal,mumbai,mehul shah,Seed Funding,1.25,9.0,2017.0
2017-09-27,transerve,technology,geospatial technology-based saas solutions,mumbai,"il&fs investment managers, omidyar network.",Private Equity,13.36,9.0,2017.0
2017-09-27,pitstop,consumer internet,car repair and servicing platform,bangalore,"blume ventures, goldbell group, anurag srivastava, shailesh rao, amiya pathak, rajesh yohanan and rahul garg",Private Equity,8.35,9.0,2017.0
2017-09-27,myupchar,consumer internet,local language health information portal,new delhi,letsventure,Seed Funding,2.5,9.0,2017.0
2017-09-28,aadyah,technology,defense tech & aerospace startup,bangalore,keiretsu forum,Private Equity,8.35,9.0,2017.0
2017-08-01,touchkin,technology,predictive care platform,bangalore,kae capital,Private Equity,10.86,8.0,2017.0
2017-08-02,zepo,consumer internet,diy ecommerce platform,mumbai,"kunal shah, letsventure, anupam mittal, hetal sonpal",Seed Funding,4.17,8.0,2017.0
2017-08-02,click2clinic,consumer internet,healthcare service aggregator,hyderabad,"narottam thudi, shireesh palle",Seed Funding,7.1,8.0,2017.0
2017-08-03,speedbox,logistics,on-demand logistics service provider,mumbai,cismat cargo services pvt. ltd.,Seed Funding,2.5,8.0,2017.0
2017-08-08,new castle technologies,technology,hospital management software,chennai,undisclosed investors,Seed Funding,0.36,8.0,2017.0
2017-08-09,truxapp,logistics,mobile based logistics service,new delhi,"venugopal dhoot, ajay bhatia, tarun khandelwal, ganpat singhvi, mandhian family & others",Seed Funding,25.89,8.0,2017.0
2017-08-09,crofarm,technology,agriculture supply chain solutions,gurgaon,factor[e] ventures,Seed Funding,6.54,8.0,2017.0
2017-08-11,flipkart,ecommerce,online marketplace,bangalore,softbank,Private Equity,4175.0,8.0,2017.0
2017-08-11,ola cabs,consumer internet,app based cab aggregation service,gurgaon,tekne capital management,Private Equity,300.6,8.0,2017.0
2017-08-14,digilend,technology,personal loans & emi solutions platform,mumbai,"incred finance, fullerton india credit company ltd",Seed Funding,2.61,8.0,2017.0
2017-08-15,knab finance,consumer internet,unsecured small business loans,bangalore,"incred, krishnakumar natarajan, ravi bhardwaj",Seed Funding,3.21,8.0,2017.0
2017-08-20,rootefy,ecommerce,building material online store,new delhi,"abhinav gupta,",Seed Funding,1.56,8.0,2017.0
2017-08-21,uniphore,technology,speech recognition startup,chennai,idg ventures,Private Equity,56.78,8.0,2017.0
2017-08-21,cerebroz,consumer internet,e-tech platform,vadodara,undisclosed hni\\xe2\\x80\\x99s,Seed Funding,6.13,8.0,2017.0
2017-08-23,dhruva,technology,cloud data protection and management solutions,pune,"riverwood capital, sequoia capital india, nexus venture partners, tenaya capital",Private Equity,668.0,8.0,2017.0
2017-08-23,bombay shaving company,ecommerce,men grooming product etailer,new delhi,fireside ventures,Private Equity,2.5,8.0,2017.0
2017-08-23,indiez,technology,software & mobile app development platform,bangalore,haresh chawla,Seed Funding,4.17,8.0,2017.0
2017-08-24,ezetap,technology,mpos solutions provider,bangalore,"js capital management, social capital, horizons ventures,",Private Equity,133.6,8.0,2017.0
2017-08-25,ink monk,consumer internet,online printing marketplace,chennai,"vamm ventures, raksul, dena",Seed Funding,6.26,8.0,2017.0
2017-08-25,medinfi,consumer internet,online doctor discovery platform,bangalore,"pbs srinivas, vinod martin,",Seed Funding,1.04,8.0,2017.0
2017-08-28,mobikon,technology,restaurant & hotel crm platform,pune,"sistema asia fund, c31 ventures, qualgro.",Private Equity,58.45,8.0,2017.0
2017-08-29,curefit,consumer internet,end to end health and wellness platform.,bangalore,"accel partners, idg ventures, kalaari capital,\\xc2\\xa0 uc-rnt fund",Private Equity,41.75,8.0,2017.0
2017-08-29,doxper,technology,healthtech iot platform,mumbai,"idal health, growx ventures, capier investments, globevestor & others",Seed Funding,6.26,8.0,2017.0
2017-08-30,treebo,consumer internet,budget hotel aggregator platform,bangalore,"ward ferry management and karst peak capital,",Private Equity,283.9,8.0,2017.0
2017-08-30,medgenome,technology,genomics research and diagnostics solutions,bangalore,"sequoia india, sofina s.a., zodius capital, kris gopalakrishnan, lakshmi narayanan,",Private Equity,250.5,8.0,2017.0
2017-07-01,billion loans,consumer internet,peer to peer lending platform,bangalore,reliance corporate advisory services ltd,Seed Funding,8.35,7.0,2017.0
2017-07-03,ecolibriumenergy,technology,energy management solutions provider,ahmedabad,"infuse ventures, jll",Private Equity,5.01,7.0,2017.0
2017-07-05,jumbotail,ecommerce,online marketplace for food and grocery,bangalore,"kalaari capital, nexus india capital advisors",Private Equity,70.97,7.0,2017.0
2017-07-05,moglix,ecommerce,b2b marketplace for industrial products,noida,"international finance corporation, rocketship, accel partners, jungle ventures, shailesh rao, venture highway",Private Equity,100.2,7.0,2017.0
2017-07-05,timesaverz,consumer internet,hyperlocal home services provider,mumbai,bccl,Private Equity,8.35,7.0,2017.0
2017-07-07,clip app,consumer internet,digital media video platform,bangalore,"india quotient, shunwei capital",Seed Funding,8.35,7.0,2017.0
2017-07-10,autorox,technology,workshop management software platform,hyderabad,mitsui & co.,Private Equity,25.05,7.0,2017.0
2017-07-11,fabogo,consumer internet,salon & spa aggregation & discovery platform,pune,dunamis ventures pte ltd,Private Equity,0.42,7.0,2017.0
2017-07-11,flickstree,consumer internet,video content discovery platform,mumbai,"venture catalysts, sourav ganguly, ankit aditya, moksh sports ventures",Seed Funding,3.87,7.0,2017.0
2017-07-12,innoviti,technology,digital payments solutions,bangalore,"sbi-fmo fund, bessemer venture partners, catamaran ventures",Private Equity,154.47,7.0,2017.0
2017-07-14,qwikspec,technology,construction site operations and analytics platform,bangalore,"brigade innovations llp, tv mohandas pai, suhail rahman, bobby reddy, m george oommen",Seed Funding,4.51,7.0,2017.0
2017-07-14,chumbak,ecommerce,designer consumer products marketplace,bangalore,blacksoil capital pvt. ltd,Private Equity,14.2,7.0,2017.0
2017-07-17,vayana,technology,enterprise banking solutions,pune,"idg ventures india advisors, jungle ventures",Private Equity,33.4,7.0,2017.0
2017-07-19,rentomojo,consumer internet,consumer leasing platform,bangalore,"ain capital ventures, renaud laplanche",Private Equity,83.5,7.0,2017.0
2017-07-19,playablo,technology,gamified learning app,bangalore,abi-showatech (india) ltd,Seed Funding,5.01,7.0,2017.0
2017-07-20,trupay,technology,online payments platform,gurgaon,"kae capital, m&s partners,",Seed Funding,5.84,7.0,2017.0
2017-07-25,noticeboard,consumer internet,mobile-first enterprise communication platform,bangalore,stellaris venture partners,Private Equity,10.02,7.0,2017.0
2017-07-25,byju\\xe2\\x80\\x99s,consumer internet,mobile learning app,bangalore,tencent holdings,Private Equity,292.25,7.0,2017.0
2017-07-26,fab hotels,consumer internet,budget hotels brand & aggregator platform,new delhi,goldman sachs,Private Equity,41.75,7.0,2017.0
2017-07-27,1mg,ecommerce,online pharmacy,gurgaon,"hbm healthcare investments, maverick capital ventures, sequoia india, omidyar network and kae capital",Private Equity,125.25,7.0,2017.0
2017-07-28,bigstylist,consumer internet,beauty services marketplace,mumbai,info edge (india) ltd,Private Equity,10.44,7.0,2017.0
2017-06-02,rentongo,ecommerce,"online marketplace for renting bikes, electronics & appliances",bangalore,tvs motor company,Seed Funding,0.28,6.0,2017.0
2017-06-05,goomo,consumer internet,online travel & holiday booking platform,mumbai,emerging india,Private Equity,417.5,6.0,2017.0
2017-06-06,spinny,ecommerce,online used car marketplace,gurgaon,"blume ventures, indian angel network, kunal shah, sandeep tandon",Private Equity,8.35,6.0,2017.0
2017-06-06,bhive workspace,consumer internet,co-working spaces,bangalore,blume ventures,Private Equity,10.02,6.0,2017.0
2017-06-06,wayforward,consumer internet,mobile app for mental health,new delhi,"harsh mahajan, farhan naqvi, sreepathy viswanathan",Seed Funding,8.35,6.0,2017.0
2017-06-07,ziploan,consumer internet,online lending platform,new delhi,waterbridge ventures,Seed Funding,5.43,6.0,2017.0
2017-06-07,growfitter,consumer internet,health and fitness discovery platform,mumbai,sque capital,Seed Funding,5.01,6.0,2017.0
2017-06-08,stratfit,consumer internet,health coaching programs,hyderabad,bodhtree consulting limited,Seed Funding,0.27,6.0,2017.0
2017-06-08,multiplier solutions,technology,crm software for healthcare space,hyderabad,norwest venture partners,Private Equity,12.53,6.0,2017.0
2017-06-08,abi health,technology,unified digital health platform,bangalore,norwest venture partners,Private Equity,12.53,6.0,2017.0
2017-06-08,stockal,consumer internet,app-based investment advisory services,bangalore,"mohan alexander, r. natarajan, vikrant varshney, amit sinha",Seed Funding,2.92,6.0,2017.0
2017-06-09,guidoo,consumer internet,travel & adventure planning platform,mumbai,"pawan borle, nirmal singh, manish prasad, vineet varma, nick haulkoury, abhai s. rao",Seed Funding,2.5,6.0,2017.0
2017-06-09,esahai,consumer internet,ambulance aggregator and medical taxi provider,hyderabad,"dr ramesh ayyala, satya muthyala",Seed Funding,0.42,6.0,2017.0
2017-06-12,lendingkart,consumer internet,online lending platform,ahmedabad,yes bank,Debt Funding,65.13,6.0,2017.0
2017-06-12,boxx,technology,artificial intelligence,bangalore,"unicorn india ventures, venky krishnakumar, suresh shankar, vivek bhargava",Private Equity,4.17,6.0,2017.0
2017-06-12,peesafe,healthcare,hygiene care product manufacturer,new delhi,"venture catalysts, alfa capital, green shots capital, real time ventures",Private Equity,8.35,6.0,2017.0
2017-06-12,vista rooms,consumer internet,online rooms aggregation platform,mumbai,"artha india ventures, singularity holdings, rajan anandan, girish mathrubootham",Seed Funding,6.48,6.0,2017.0
2017-06-12,coverfox,consumer internet,online insurance brokerage platform,mumbai,transamerica,Private Equity,125.25,6.0,2017.0
2017-06-13,goodera,technology,csr and sustainability management platform,bangalore,"nexus venture partners, omidyar network",Private Equity,45.92,6.0,2017.0
2017-06-14,ola,consumer internet,cab aggregation app,bangalore,tekne capital management llc,Private Equity,417.5,6.0,2017.0
2017-06-14,mrneeds,consumer internet,micro food delivery platform,noida,undisclosed investors,Seed Funding,4.17,6.0,2017.0
2017-06-15,moneytap,consumer internet,money lending platform,bangalore,"sequoia india, nea, prime venture partners",Private Equity,102.7,6.0,2017.0
2017-06-16,goodbox,ecommerce,mobile saas\\xc2\\xa0 ecommerce platform for smes,bangalore,"nexus venture partners, mekin maheshwari",Private Equity,8.35,6.0,2017.0
2017-06-16,fincash,consumer internet,personal finance platform,mumbai,"mohammed khan, sameer narayan & others",Seed Funding,0.83,6.0,2017.0
2017-06-19,unbxd,technology,cloud-based product discovery platform,bangalore,eight roads ventures,Private Equity,104.38,6.0,2017.0
2017-06-19,darwinbox,technology,enterprise human resources management platform,hyderabad,"lightspeed india partners, endiya partners, 3one4 capital advisors llp, startupxseed ventures llp",Private Equity,33.4,6.0,2017.0
2017-06-20,forevershop,consumer internet,mobile based ecommerce platform,bangalore,91maker.com,Seed Funding,2.5,6.0,2017.0
2017-06-20,insider,consumer internet,events ticketing platform,mumbai,paytm,Private Equity,43.42,6.0,2017.0
2017-06-21,fynd,ecommerce,fashion etailer,mumbai,"iifl seed ventures, kae capital, fj labs, singularity ventures, growx, tracxn labs, axis capital",Private Equity,3.34,6.0,2017.0
2017-06-21,grow fit,consumer internet,health-tech platform,bangalore,"manipal education and medical group (memg), sar group, the grover trust",Private Equity,37.58,6.0,2017.0
2017-06-21,fabulyst,technology,artificial intelligence based platform,hyderabad,ibhubs,Seed Funding,0.13,6.0,2017.0
2017-06-21,mswipe,technology,point-of-sale services,mumbai,"uc-rnt fund, matrix partners, alcon edge capital, dsg consumer partners",Private Equity,258.85,6.0,2017.0
2017-06-22,julia computing,technology,open source language for data science and machine learning,bangalore,"general catalyst, founder collective",Private Equity,38.41,6.0,2017.0
2017-06-22,explore life traveling,consumer internet,local homes booking platform,bangalore,"mekin maheshwari, bharat vijay, krish seshadri, amar arsikere",Seed Funding,4.17,6.0,2017.0
2017-06-23,loantap,consumer internet,lending platform for salaried professionals,mumbai,"kae capital, india quotient, ifmr, and mas financial services ltd",Private Equity,33.4,6.0,2017.0
2017-06-23,voxweb,consumer internet,mobile based social networking platform,mumbai,undisclosed investors,Seed Funding,8.35,6.0,2017.0
2017-06-26,hug innovations,technology,gesture based\\xc2\\xa0 smartwatch manufacturer,hyderabad,"mohit srivastav, kishore ganji, venkat vallabhaneni, rajeev menon",Private Equity,41.75,6.0,2017.0
2017-06-26,flipkart,ecommerce,online marketplace,bangalore,naspers,Private Equity,592.85,6.0,2017.0
2017-06-26,v resorts,consumer internet,holiday & vacation resort aggregator,noida,"seedfund, rb international",Private Equity,33.4,6.0,2017.0
2017-06-27,stashfin,consumer internet,personal finance app,new delhi,"snow leopard ventures, alto partners",Private Equity,41.75,6.0,2017.0
2017-06-27,spares hub,ecommerce,automobile parts marketplace,pune,"the chennai angels, anthill scale ventures, esvee technologies inc, inc95 consulting",Seed Funding,2.6,6.0,2017.0
2017-06-28,rubique,consumer internet,online marketplace for financial products,mumbai,"kalaari capital, udayan goyal",Private Equity,25.05,6.0,2017.0
2017-06-29,fitpass,consumer internet,online fitness marketplace,new delhi,"abhinav bindra, gaurav marya",Private Equity,8.35,6.0,2017.0
2017-06-30,tagos design,technology,in-video discovery platform,bangalore,undisclosed investors,Private Equity,41.75,6.0,2017.0
2017-06-30,urbanclap,consumer internet,mobile services marketplace,gurgaon,"vy capital, saif partners, accel partner, bessemer venture partners",Private Equity,8.35,6.0,2017.0
2017-05-01,ace2three,consumer internet,online rummy playing website,hyderabad,clairvest group,Private Equity,615.39,5.0,2017.0
2017-05-01,power2sme,ecommerce,buying portal for smes,gurgaon,international finance corporation,Private Equity,83.5,5.0,2017.0
2017-05-02,innovapptive,technology,enterprise mobility solutions,hyderabad,hyderabad angels,Seed Funding,12.53,5.0,2017.0
2017-05-02,4tigo,logistics,truck network company,bangalore,"accel partners, nandan nilekani,",Private Equity,83.5,5.0,2017.0
2017-05-02,zippserve,consumer internet,real estate risk assessment platform,bangalore,undisclosed investors,Seed Funding,3.26,5.0,2017.0
2017-05-03,ola,consumer internet,cab aggregation app,bangalore,"falcon edge capital,\\xc2\\xa0 capital advisers",Private Equity,872.58,5.0,2017.0
2017-05-03,sumeru,technology,software & mobile development services,bangalore,undisclosed investors,Seed Funding,8.35,5.0,2017.0
2017-05-05,balance app,consumer internet,money savings & management app,bangalore,rainmatter,Seed Funding,0.28,5.0,2017.0
2017-05-08,yepme,ecommerce,private label fashion etailer,gurgaon,"rainbow digital services pvt. ltd, ilearnfinance academy pvt. ltd.",Private Equity,5.84,5.0,2017.0
2017-05-08,mygreens,food & beverage,cold-press juices manufacturer,new delhi,"ajay relan, letsventure",Seed Funding,8.35,5.0,2017.0
2017-05-08,ace turtle,technology,omni-channel platform,bangalore,"vertex ventures, c31 ventures",Private Equity,41.75,5.0,2017.0
2017-05-08,curefit,technology,health-tech platform,bangalore,"trifecta capital advisors llp, prathithi investment trust, rnt capital, gokul rajaram, aditya agarwal, ruchi sanghvi & others",Private Equity,26.72,5.0,2017.0
2017-05-09,curie labs,technology,energy analytics startup,new delhi,satoshi studios,Seed Funding,0.42,5.0,2017.0
2017-05-10,vidooly,consumer internet,video intelligence platform,noida,"times internet, gvfl",Private Equity,11.69,5.0,2017.0
2017-05-10,shopclues,ecommerce,online marketplace,gurgaon,innoven capital,Private Equity,64.3,5.0,2017.0
2017-05-10,fourth ambit,consumer internet,community building platform,bangalore,1crowd,Seed Funding,5.01,5.0,2017.0
2017-05-11,early salary,consumer internet,online lending platform,pune,"dg ventures india, dewan housing finance corp",Private Equity,33.4,5.0,2017.0
2017-05-12,legal raasta,consumer internet,legal services to smes & individuals,new delhi,impanix capital,Private Equity,41.75,5.0,2017.0
2017-05-12,remit guru,consumer internet,digital money transfer platform,mumbai,"infibeam, ccavenue",Private Equity,3.89,5.0,2017.0
2017-05-12,aequm,ecommerce,cloud ecommerce platform,bangalore,undisclosed investors,Seed Funding,8.35,5.0,2017.0
2017-05-15,zapty,technology,project management tool,bangalore,ideaspring capital,Seed Funding,4.17,5.0,2017.0
2017-05-16,telr,technology,online payment gateway,mumbai,innovations east,Private Equity,25.05,5.0,2017.0
2017-05-16,fynd,ecommerce,fashion ecommerce portal,mumbai,rocketship,Private Equity,4.17,5.0,2017.0
2017-05-17,genie,consumer internet,hyperlocal delivery and logistics mobile app,chennai,undisclosed investors,Seed Funding,0.42,5.0,2017.0
2017-05-17,paysense,consumer internet,online lending platform,mumbai,jungle ventures,Private Equity,44.26,5.0,2017.0
2017-05-18,the good life,ecommerce,online luxury tea etailer,mumbai,"ayesha takia azmi, abu farhan azmi",Seed Funding,8.35,5.0,2017.0
2017-05-18,paytm,ecommerce,mobile wallet & ecommerce platform,bangalore,softbank group,Private Equity,11690.0,5.0,2017.0
2017-05-19,ezcred,consumer internet,consumer lending platform,bangalore,"dheeraj pandey, rajesh yohannan, akash garg",Seed Funding,8.35,5.0,2017.0
2017-05-22,delhivery,logistics,ecommerce logistics provider,new delhi,fosun international,Private Equity,250.5,5.0,2017.0
2017-05-22,zipgrid,consumer internet,"cashless, paperless solutions for housing societies",mumbai,"jll, 1crowd",Seed Funding,4.17,5.0,2017.0
2017-05-23,magicpin,consumer internet,hyperlocal discovery platform,gurgaon,"lightspeed venture partners, vy capital,",Private Equity,55.11,5.0,2017.0
2017-05-23,box8,consumer internet,food delivery platform,mumbai,trifecta capital,Private Equity,8.35,5.0,2017.0
2017-05-24,gennext students,consumer internet,online tutoring services,mumbai,undisclosed investors,Seed Funding,4.84,5.0,2017.0
2017-05-25,aye finance,finance,non-banking financial company,gurgaon,blue orchard,Private Equity,66.8,5.0,2017.0
2017-05-29,collateral medical,ecommerce,online medical equipment supplier,mumbai,carpediem capital,Private Equity,29.23,5.0,2017.0
2017-05-30,supr daily,consumer internet,subscription based delivery platform,mumbai,"soma capital, great oaks ventures, 122 west ventures",Private Equity,12.53,5.0,2017.0
2017-05-30,swiggy,consumer internet,online food delivery platform,bangalore,"nasper, accel india, saif partners, bessemer venture partners, harmony partners, norwest venture partners",Private Equity,668.0,5.0,2017.0
