Date,Startup Name,Vertical,Sub Vertical,City,Investor,Round,Amount in Rs.,Month,Year
2019-08-23,admitkard,edtech,university admissions,noida,growth dna,Seed Round,8.35,8.0,2019.0
2019-08-19,mishry reviews,services,product review,gurgaon,vir sanghvi,Series A,0.0,8.0,2019.0
2019-08-19,grofers,e-commerce,grocery delivery,gurgaon,softbank vision fund,Series F,584.5,8.0,2019.0
2019-08-27,rapido bike taxi,transportation,bike taxi,bengaluru,westbridge capital,Series B,32565.0,8.0,2019.0
2019-07-02,renewbuy,finance,auto insurance,gurgaon,"lok capital, iifl wealth",Series B,158.65,7.0,2019.0
2019-07-02,atlan,information technology,big data,singapore,waterbridge ventures,Pre-Series A,4.17,7.0,2019.0
2019-07-01,wizcounsel,compliance,consulting,new delhi,kapil dev,Angel,1.21,7.0,2019.0
2019-07-03,ola cabs,transport,cabs,kormangala,"dig investment ab, deshe holdings, samih toukan and hussam khoury",Series J,8.35,7.0,2019.0
2019-07-01,uniphore,artificial intelligence,speech recognition,taramani,march capital partners,Series C,317.97,7.0,2019.0
2019-07-04,daalchini technologies,food and beverage,digital vending machine,new delhi,artha venture,Seed Round,4.17,7.0,2019.0
2019-07-10,byju’s,edtech,education,bengaluru,qatar investment authority,Private Equity Round,1252.5,7.0,2019.0
2019-07-11,moglix,e-commerce,industrial tools and equipments,singapore,"composite capital management, sequoia capital india, tiger global management",Series D,501.0,7.0,2019.0
2019-07-10,ezyhaul,tech,logistics,singapore,undisclosed,Series B,133.6,7.0,2019.0
2019-07-10,indus os,tech,smartphone operating system,andheri,ventureast,Series B,48.01,7.0,2019.0
2019-07-10,healthassure,health care,primary care medical network,mumbai,blume ventures,Series A,4.17,7.0,2019.0
2019-07-09,house of msasaba,luxury label,clothes and apparel,mumbai,binny bansal,Series A,8.35,7.0,2019.0
2019-07-08,board infinity,edtech,full-stack career platform,chembur,multiple angel investors,Angel Round,2.67,7.0,2019.0
2019-06-05,nobroker,e-commerce,real estate,bengaluru,general atlantic,Series C,425.85,6.0,2019.0
2019-06-04,bira91,food and beverage,brewery,new delhi,anicut capital,Debt Funding,83.5,6.0,2019.0
2019-06-03,avail finance,finance,fintech,bengaluru,matrix partners,Series A,75.15,6.0,2019.0
2019-06-04,bharatpe,finance,fintech,new delhi,insight partners,Series B,626.25,6.0,2019.0
2019-06-04,recykal,waste management service,optimization,hyderabad,"triton investment advisors, pidilite industries director ajay parekh",pre-Series A,50.1,6.0,2019.0
2019-06-03,agara labs,deep-tech,artificial intelligence,bengaluru,blume ventures and rtp global,pre-Series A,4.17,6.0,2019.0
2019-06-06,chakr innovation,energy,renewable energy,new delhi,ian fund,Series A,50.1,6.0,2019.0
2019-06-10,bolo app,digital media,video platform,bengaluru,nexus venture partners,Seed Funding,3.59,6.0,2019.0
2019-06-10,okcredit,fintech,financial services,haryana,tiger global management,Series A,129.43,6.0,2019.0
2019-06-06,biz2credit,fintech,online lending platform,new york,westbridge capital,Series B,434.2,6.0,2019.0
2019-06-08,vogo automotive pvt. ltd.,transportation,dockless scooter rental company,karnataka,alteria capital,Debt Funding,29.93,6.0,2019.0
2019-06-04,leegality,services,digital documentation,mumbai/bengaluru,mumbai angels,Series A,28.39,6.0,2019.0
2019-05-06,ola electric,transport,cabs,bengaluru,tata sons,Series A,0.0,5.0,2019.0
2019-05-06,saahas zero waste,waste management service,optimization,bengaluru,c4d partners,Venture - Series Unknown,7.25,5.0,2019.0
2019-05-05,styledotme,e-commerce,fashion and shopping,delhi,"indian angel network and other angel investors, innov8 founder ritesh malik, josh talks founders supriya paul and shobha banga, and former hero corporate president rohit chanana",Bridge Round,0.0,5.0,2019.0
2019-05-01,blackbuck,transport,logistics,bengaluru,"goldman sachs investment partners and silicon valley-based accel, wellington, sequoia capital, b capital, lightstreet, sands capital and international finance corporation,",Series D,1252.5,5.0,2019.0
2019-05-02,zenoti,saas,beauty and wellness industry,hyderabad,tiger global management,Series C,417.5,5.0,2019.0
2019-05-28,ather energy,automobile,electric vehicle,bengaluru,sachin bansal,Series C,425.85,5.0,2019.0
2019-05-28,freshvnf,agtech,fresh agriculture produces,mumbai,equanimity ventures,Seed Round,1169.0,5.0,2019.0
2019-05-30,glowroad,e-commerce,retail,bengaluru,"korea investment partners, vertex ventures",Series B,96.03,5.0,2019.0
2019-05-31,bira91,food and beverage,brewery,new delhi,sixth sense ventures,Series B,46.76,5.0,2019.0
2019-04-16,kuvera,finance,wealth management,bengaluru,eight roads,Series A,375.75,4.0,2019.0
2019-04-12,medlife,e-commerce,online medicine,bengaluru,prasid uno family trust,Private Equity,141.95,4.0,2019.0
2019-04-10,kabadiwala,e-commerce,waste management,bhopal,"unilever, beehive capital advisor, abcom investments, parekh marine transport,",Private Equity,3.6,4.0,2019.0
2019-04-13,tripoto,social media,travel,new delhi,"orchid india, hornbill orchid india fund, chiratae ventures (formerly idg ventures), 3one4 capital, lasmer nv",Series B,29.99,4.0,2019.0
2019-04-11,setu,fintech,banking,bengaluru,lightspeed india partners,Seed Funding,29.23,4.0,2019.0
2019-04-10,toppr,edtech,e-learning,mumbai,milestone,Debt and Preference capital,52.78,4.0,2019.0
2019-04-10,craftsvilla,e-commerce,fashion and apparel,mumbai,supera pte ltd,Inhouse Funding,3.7,4.0,2019.0
2019-04-10,unacademy,edtech,e-learning,bengaluru,kalyan krishnamurthy,Seed/ Angel Funding,2.56,4.0,2019.0
2019-04-11,clevertap,saas,mobile analytics and marketing,mumbai,"sequoia india, tiger global management, accel partners",Series B,50.1,4.0,2019.0
2019-04-19,my healthcare,e-commerce,software solutions,bengaluru and gurugram,sixth sense ventures,Series A,25.05,4.0,2019.0
2019-04-19,krazybee,e-commerce,lending platform,bengaluru,"bac acquisitions, unifi aif, brd securities, northern r capital",Debt,119.76,4.0,2019.0
2019-04-17,shuttl,transportation,bus aggregation,gurugram,new atlantic ventures,Venture Round,41.75,4.0,2019.0
2019-04-17,increff,technology,supply-chain technology solutions,bengaluru,"021 capita, binny bansal",Series A,25.05,4.0,2019.0
2019-02-01,fleetx,ai,logistics,gurgaon,india quotient and letsventure\\xe2\\x80\\x99s angel fund,Pre Series A,0.0,2.0,2019.0
2019-02-08,zilingo,ecommerce,fashion & apparel,india/singapore,"sequoia capital and temasek holdings, edbi, burda principal investments, and sofina",Series D,50.1,2.0,2019.0
2019-02-13,nanoclean global,nanotechnology,anti-pollution,new delhi,"letsventure, pitchright venture, 91springboard, al nour international holdings and mark v investments",Series A,5.01,2.0,2019.0
2018-02-14,oyorooms,hospitality,budget rooms,gurgaon,didi chuxing,Equity,835.0,2.0,2018.0
2019-01-03,cardekho,automobile,online marketplace,jaipur,"sequoia india, hillhouse capital, alphabet\\xe2\\x80\\x99s growth investment arm capital g and axis bank",Series C,918.5,1.0,2019.0
2019-01-04,samunnati financial intermediation & services pvt. ltd,finance,non-banking financial company,chennai,"massif, a dutch government fund",Debt-Funding,41.75,1.0,2019.0
2018-12-04,manch,social media,hyperlocal content,delhi,stellaris venture partners,Seed Funding,5.84,12.0,2018.0
2018-12-01,urbanclap technologies pvt. ltd,services platform,home services marketplace,new delhi,steadview capital and vy capital.,Series D,417.5,12.0,2018.0
2018-12-02,guiddoo,travel tech,platform for travel agents,mumbai,individual investors,Pre-Series A,6.68,12.0,2018.0
2018-12-02,career anna,online education,"video-based certification, trainings",gurugram,individual investors,Pre-Series A,4.78,12.0,2018.0
2018-12-04,nagpur wholesale,online marketplace,ecommerce,nagpur,omphalos ventures india llp,Seed Funding,1.19,12.0,2018.0
2018-12-06,buildsupply,"saas, ecommerce","real estate, erp",gurugram,"venture highway, gree ventures, space matrix, individual investors",Series A,29.23,12.0,2018.0
2018-11-01,godesi,food and beverage,regional flavours,bengaluru,lead angels network,Seed/ Angel Funding,1.16,11.0,2018.0
2018-11-03,veritas finance ltd.,nbfc,msme finance,chennai,"norwest venture partners, cdc group, the uk\\xe2\\x80\\x99s development finance institution and p surendra pai",Series D,65.12,11.0,2018.0
2018-11-06,meesho,ecommerce,social commerce,bengaluru,"shunwei capital, dst partners and rps ventures",Series C,417.5,11.0,2018.0
2018-11-08,mobile premier league,gaming,mobile e-sports,bengaluru,undisclosed,Series A,4.17,11.0,2018.0
2018-11-08,a&r bon vivants,food,meat retail chain,jaipur,"rb investments, singapore",Equity,8.35,11.0,2018.0
2018-11-12,blackbuck,food tech,pos for online ordering,"new york, bengaluru",tiger global,Series A,8.35,11.0,2018.0
2018-11-12,milkbasket,food,micro-delivery grocery service,new delhi,mayfield fund,Series B,10.86,11.0,2018.0
2018-11-13,driveu,transport,on-demand drivers,bengaluru,stevens creek ventures,Mezzanine,8.35,11.0,2018.0
2018-11-14,cleansecar,services,car wash,bengaluru,venture catalysts,Seed/ Angel Funding,4.17,11.0,2018.0
